0.3894383,0.6323959,0.26816192,0.8698841,0.38605857,1;6.665652;6103.0;43,47.142544
0.6300372,0.6616322,0.2520644,0.79928327,0.40966102,1;6.984404;5876.0;45,48.29955
0.61020607,0.62251824,0.2589447,0.81988895,0.45411322,1;6.769735;6451.0;42,48.145264
0.6352344,0.664427,0.2625275,0.79881287,0.40943518,1;6.8342986;5857.0;45,47.570557
0.3894383,0.6323959,0.26816192,0.8698841,0.38605857,1;6.821542;6882.0;43,49.038532
0.31924403,0.63808125,0.26882723,0.84379894,0.39564353,1;6.7223215;7047.0;39,48.803
0.6287257,0.6491436,0.2921503,0.81013477,0.37992084,1;6.872654;6046.0;43,48.023056
0.5995311,0.6013571,0.29281378,0.6003353,0.3775777,1;6.5740256;6656.0;42,47.53945
0.6285891,0.6595072,0.25775036,0.79771185,0.42362013,1;6.8646064;5557.0;43,47.252
0.4918217,0.6093482,0.2978388,0.6343773,0.39936018,1;7.0012574;6264.0;49,48.9802
0.61461574,0.59350115,0.25794974,0.7401181,0.4222603,1;6.7889533;6643.0;44,48.53295
0.40838158,0.60150063,0.27154002,0.59196204,0.38027903,1;7.059882;6626.0;45,49.776783
0.47602654,0.6356339,0.28496125,0.88164765,0.3876332,1;6.7569323;7046.0;45,48.993015
0.43032563,0.5783931,0.33279595,0.86517996,0.5442217,1;6.9320426;6522.0;49,49.0442
0.5518456,0.39447537,0.18492635,0.9809481,0.48317242,1;6.899087;5758.0;51,47.75441
0.48323017,0.64445615,0.28199527,0.85035455,0.3885839,1;6.9543014;5880.0;47,48.175076
0.6062857,0.5833427,0.28181076,0.5792691,0.38623807,1;6.7162538;7241.0;40,49.070683
0.60042024,0.6313815,0.29640618,0.6741203,0.38016087,1;6.8431334;5671.0;46,47.337788
0.32394266,0.59166145,0.25755134,0.8378326,0.39431703,1;6.814463;6021.0;42,47.708992
0.4841103,0.63901734,0.28333884,0.8281914,0.3863572,1;6.7994514;5904.0;46,47.483437
0.5946797,0.60470796,0.29237345,0.72733015,0.4623633,1;6.7668104;5985.0;44,47.44262
0.45801583,0.63954717,0.26865935,0.81595904,0.41454816,1;6.9342155;5342.0;47,47.27434
0.4619926,0.61579806,0.28527224,0.7214447,0.38757414,1;6.814475;7507.0;43,49.94305
0.6267469,0.6053317,0.29029447,0.6290706,0.3809487,2;6.70747;7252.0;44,55.732857
0.49189225,0.60394603,0.2850521,0.8606743,0.39454898,1;6.975943;5626.0;40,47.86007
0.49696913,0.60454434,0.27700323,0.6188411,0.38930523,1;6.910035;6964.0;44,49.5795
0.47894475,0.61760813,0.27198794,0.8140044,0.4023792,1;6.9450607;6138.0;44,48.503952
0.6131858,0.58766454,0.28913778,0.6114865,0.4235373,1;7.158429;7094.0;46,50.94367
0.6299301,0.66709936,0.25882143,0.8164651,0.4244695,1;6.9355674;5754.0;47,47.89865
0.4619926,0.61579806,0.28527224,0.7214447,0.38757414,1;6.8671646;6969.0;45,49.391933
0.42921337,0.6065311,0.28519005,0.6758264,0.3927785,1;6.766145;5903.0;41,47.301514
0.51323116,0.62552303,0.27810115,0.891291,0.39248678,1;6.8447104;5660.0;41,47.30365
0.47651395,0.61689425,0.2625081,0.81573683,0.42751265,1;6.7210646;5949.0;47,47.190136
0.5477386,0.62311447,0.28358772,0.83831555,0.38209242,1;6.448252;8121.0;42,49.15001
0.48503217,0.6053508,0.27636456,0.6242968,0.38196278,1;6.528034;6686.0;40,47.359825
0.46567184,0.60540956,0.28675848,0.6008828,0.35881323,1;6.850712;6541.0;47,48.683155
0.45812038,0.6181139,0.2850713,0.76168454,0.38870326,1;6.80351;5771.0;42,47.282883
0.53188455,0.62924546,0.2743678,0.7794948,0.38609338,1;6.85962;6386.0;45,48.482224
0.60581994,0.5987502,0.2851087,0.5742724,0.38002902,1;6.3649683;7220.0;39,47.39485
0.5317984,0.6264373,0.28586933,0.5689103,0.3534221,1;6.853059;5558.0;44,47.204613
0.49435806,0.66508746,0.2927099,0.74428344,0.36338162,1;7.0322943;5100.0;46,47.36404
0.61880165,0.61925274,0.2914765,0.63017046,0.37868315,1;6.794783;5880.0;43,47.410656
0.47402647,0.60615337,0.2966801,0.59285,0.3473629,1;6.9418144;6109.0;47,48.460304
0.4638914,0.6068487,0.28690132,0.62752753,0.35156962,1;6.8530073;5512.0;47,47.150368
0.43729952,0.6077799,0.28371444,0.70313513,0.39337075,1;6.940303;5188.0;48,47.07675
0.6252938,0.5817042,0.2732612,0.580552,0.38572222,1;6.8561273;6877.0;47,49.212425
0.54361856,0.6171924,0.25917643,0.7785375,0.4340814,1;6.8635416;5827.0;46,47.66703
0.47433448,0.58677965,0.31791985,0.91149455,0.46743798,1;6.9363327;5708.0;48,47.838223
0.5953323,0.62306184,0.26306382,0.7524143,0.41181558,1;6.7747717;5664.0;47,47.013268
0.5362487,0.5480629,0.2589654,0.45024115,0.4755519,1;6.7427416;5728.0;46,46.954792
